username,repo_name,stars,repo_url
public-apis,public-apis,245000,https://github.com/public-apis/public-apis
neovim,neovim,66800,https://github.com/neovim/neovim
tiangolo,fastapi,59400,https://github.com/tiangolo/fastapi
strapi,strapi,54400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,52000,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,48300,https://github.com/ocornut/imgui
meilisearch,meilisearch,37200,https://github.com/meilisearch/meilisearch
slatedocs,slate,35200,https://github.com/slatedocs/slate
hasura,graphql-engine,29900,https://github.com/hasura/graphql-engine
Kong,insomnia,28600,https://github.com/Kong/insomnia
ccxt,ccxt,28500,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,28300,https://github.com/Binaryify/NeteaseCloudMusicApi
httpie,httpie,28100,https://github.com/httpie/httpie
trpc,trpc,26500,https://github.com/trpc/trpc
YMFE,yapi,26200,https://github.com/YMFE/yapi
encode,django-rest-framework,25800,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24000,https://github.com/littlecodersh/ItChat
directus,directus,21900,https://github.com/directus/directus
microsoft,api-guidelines,21500,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
