username,repo_name,stars,repo_url
jwasham,coding-interview-university,260000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,171000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,165000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,160000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,92200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60000,https://github.com/kdn251/interviews
TheAlgorithms,Java,52300,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,51500,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,43000,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,39600,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29800,https://github.com/halfrost/LeetCode-Go
huihut,interview,29300,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27400,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,JavaScript,26900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,24700,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22700,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21400,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21400,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,19000,https://github.com/AtsushiSakai/PythonRobotics
