username,repo_name,stars,repo_url
localstack,localstack,47400,https://github.com/localstack/localstack
serverless,serverless,44900,https://github.com/serverless/serverless
bregman-arie,devops-exercises,44300,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,25200,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,16300,https://github.com/pulumi/pulumi
serverless-stack,sst,15400,https://github.com/serverless-stack/sst
kubernetes-sigs,kubespray,14100,https://github.com/kubernetes-sigs/kubespray
ramitsurana,awesome-kubernetes,14000,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,13900,https://github.com/aws/aws-cli
mozilla,sops,13100,https://github.com/mozilla/sops
donnemartin,awesome-aws,11600,https://github.com/donnemartin/awesome-aws
caprover,caprover,10500,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10400,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10300,https://github.com/aws/aws-cdk
apereo,cas,10200,https://github.com/apereo/cas
aws,chalice,9800,https://github.com/aws/chalice
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
infracost,infracost,9200,https://github.com/infracost/infracost
google,go-cloud,9100,https://github.com/google/go-cloud
aws,serverless-application-model,9000,https://github.com/aws/serverless-application-model
