username,repo_name,stars,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2400,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,761,https://github.com/unreal4u/telegram-api
amphp,parallel,674,https://github.com/amphp/parallel
amphp,http-client,659,https://github.com/amphp/http-client
php-service-bus,service-bus,341,https://github.com/php-service-bus/service-bus
amphp,byte-stream,334,https://github.com/amphp/byte-stream
amphp,mysql,317,https://github.com/amphp/mysql
amphp,parallel-functions,244,https://github.com/amphp/parallel-functions
amphp,process,213,https://github.com/amphp/process
amphp,socket,193,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,176,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,140,https://github.com/amphp/redis
amphp,dns,138,https://github.com/amphp/dns
amphp,sync,137,https://github.com/amphp/sync
amphp,websocket-client,124,https://github.com/amphp/websocket-client
kelunik,acme,120,https://github.com/kelunik/acme
amphp,serialization,97,https://github.com/amphp/serialization
amphp,websocket-server,94,https://github.com/amphp/websocket-server
