username,repo_name,stars,repo_url
sindresorhus,awesome,258000,https://github.com/sindresorhus/awesome
vinta,awesome-python,172000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,137000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,104000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,100000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,73500,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,70200,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,66200,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,61400,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,56300,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,55900,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,52300,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51600,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,47700,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,47300,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,47000,https://github.com/fffaraz/awesome-cpp
wasabeef,awesome-android-ui,46700,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,45600,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,43100,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,41400,https://github.com/tiimgreen/github-cheat-sheet
