username,repo_name,stars,repo_url
babel,babel,42300,https://github.com/babel/babel
swc-project,swc,27700,https://github.com/swc-project/swc
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21500,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20400,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14900,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11700,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8200,https://github.com/grommet/grommet
developit,htm,8200,https://github.com/developit/htm
ben-rogerson,twin.macro,7300,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5700,https://github.com/documentationjs/documentation
insin,nwb,5600,https://github.com/insin/nwb
fkling,astexplorer,5500,https://github.com/fkling/astexplorer
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5300,https://github.com/egoist/poi
transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,4800,https://github.com/duxianwei520/react
babel,babel-loader,4700,https://github.com/babel/babel-loader
