username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,137000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,67900,https://github.com/nvm-sh/nvm
junegunn,fzf,52800,https://github.com/junegunn/fzf
google,zx,37700,https://github.com/google/zx
starship,starship,34800,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,33800,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,33700,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,32299,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,32100,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,29100,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27600,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24200,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22100,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18200,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,17800,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17200,https://github.com/Nyr/openvpn-install
rbenv,rbenv,15100,https://github.com/rbenv/rbenv
kingToolbox,WindTerm,14900,https://github.com/kingToolbox/WindTerm
faressoft,terminalizer,14200,https://github.com/faressoft/terminalizer
warpdotdev,Warp,14000,https://github.com/warpdotdev/Warp
