username,repo_name,stars,repo_url
bitcoin,bitcoin,70000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,28500,https://github.com/ccxt/ccxt
freqtrade,freqtrade,22200,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17900,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10400,https://github.com/solana-labs/solana
bbfamily,abu,10100,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7400,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7000,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6500,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6400,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5300,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,5000,https://github.com/bitcoinjs/bitcoinjs-lib
btcpayserver,btcpayserver,5000,https://github.com/btcpayserver/btcpayserver
anders94,blockchain-demo,4800,https://github.com/anders94/blockchain-demo
jesse-ai,jesse,4700,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4600,https://github.com/bitcoinj/bitcoinj
getumbrel,umbrel,4500,https://github.com/getumbrel/umbrel
