username,repo_name,stars,repo_url
ccxt,ccxt,28500,https://github.com/ccxt/ccxt
discordjs,discord.js,23400,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,22200,https://github.com/python-telegram-bot/python-telegram-bot
RasaHQ,rasa,16600,https://github.com/RasaHQ/rasa
wechaty,wechaty,16600,https://github.com/wechaty/wechaty
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,15400,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13400,https://github.com/gunthercox/ChatterBot
Rapptz,discord.py,13000,https://github.com/Rapptz/discord.py
leon-ai,leon,13000,https://github.com/leon-ai/leon
tgbot-collection,YYeTsBot,12800,https://github.com/tgbot-collection/YYeTsBot
howdyai,botkit,11100,https://github.com/howdyai/botkit
pedroslopez,whatsapp-web.js,10500,https://github.com/pedroslopez/whatsapp-web.js
botpress,botpress,10400,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9500,https://github.com/sfyc23/EverydayWechat
Mrs4s,go-cqhttp,8700,https://github.com/Mrs4s/go-cqhttp
lss233,chatgpt-mirai-qq-bot,7600,https://github.com/lss233/chatgpt-mirai-qq-bot
microsoft,ailab,7400,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7200,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7100,https://github.com/microsoft/botframework-sdk
