username,repo_name,stars,repo_url
CyC2018,CS-Notes,165000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,107000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51500,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,47000,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,41000,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,39600,https://github.com/youngyangyang04/leetcode-master
Light-City,CPlusPlusThings,31000,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,30600,https://github.com/carbon-language/carbon-lang
huihut,interview,29300,https://github.com/huihut/interview
yuzu-emu,yuzu,29200,https://github.com/yuzu-emu/yuzu
CMU-Perceptual-Computing-Lab,openpose,27300,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27300,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,24700,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,22400,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21100,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,20400,https://github.com/ethereum/solidity
dragonflydb,dragonfly,19800,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,18900,https://github.com/microsoft/vcpkg
gabime,spdlog,18800,https://github.com/gabime/spdlog
ssloy,tinyrenderer,17200,https://github.com/ssloy/tinyrenderer
