username,repo_name,stars,repo_url
Genymobile,scrcpy,86300,https://github.com/Genymobile/scrcpy
neovim,neovim,66800,https://github.com/neovim/neovim
obsproject,obs-studio,48400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,47000,https://github.com/fffaraz/awesome-cpp
git,git,46600,https://github.com/git/git
FFmpeg,FFmpeg,36800,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,35800,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30500,https://github.com/vim/vim
curl,curl,30500,https://github.com/curl/curl
huihut,interview,29300,https://github.com/huihut/interview
ggreer,the_silver_searcher,25000,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,23700,https://github.com/pbatard/rufus
mpv-player,mpv,22700,https://github.com/mpv-player/mpv
ossrs,srs,21900,https://github.com/ossrs/srs
google,flatbuffers,20600,https://github.com/google/flatbuffers
ruby,ruby,20500,https://github.com/ruby/ruby
kovidgoyal,kitty,19000,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,18900,https://github.com/microsoft/vcpkg
oracle,graal,18700,https://github.com/oracle/graal
radareorg,radare2,18200,https://github.com/radareorg/radare2
