username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,38200,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,24200,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21300,https://github.com/refined-github/refined-github
openai-translator,openai-translator,17000,https://github.com/openai-translator/openai-translator
darkreader,darkreader,16900,https://github.com/darkreader/darkreader
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
unbug,codelf,13600,https://github.com/unbug/codelf
dailydotdev,daily,13300,https://github.com/dailydotdev/daily
wong2,chatgpt-google-extension,13200,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,11300,https://github.com/gildas-lormeau/SingleFile
Anarios,return-youtube-dislike,11200,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,10800,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10200,https://github.com/listen1/listen1_chrome_extension
immersive-translate,immersive-translate,9400,https://github.com/immersive-translate/immersive-translate
alyssaxuu,screenity,8300,https://github.com/alyssaxuu/screenity
josStorer,chatGPTBox,8200,https://github.com/josStorer/chatGPTBox
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
Kenshin,simpread,7300,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,7100,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,7000,https://github.com/AutomaApp/automa
