username,repo_name,stars,repo_url
metabase,metabase,32800,https://github.com/metabase/metabase
logseq,logseq,23100,https://github.com/logseq/logseq
penpot,penpot,22100,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13000,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,9400,https://github.com/kanaka/mal
lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5100,https://github.com/tonsky/datascript
reagent-project,reagent,4700,https://github.com/reagent-project/reagent
riemann,riemann,4200,https://github.com/riemann/riemann
izhangzhihao,intellij-rainbow-brackets,4100,https://github.com/izhangzhihao/intellij-rainbow-brackets
weavejester,compojure,4000,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3700,https://github.com/status-im/status-mobile
ring-clojure,ring,3600,https://github.com/ring-clojure/ring
clojure-emacs,cider,3400,https://github.com/clojure-emacs/cider
babashka,babashka,3400,https://github.com/babashka/babashka
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
