username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,160000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,52800,https://github.com/junegunn/fzf
sherlock-project,sherlock,41800,https://github.com/sherlock-project/sherlock
sharkdp,bat,41700,https://github.com/sharkdp/bat
BurntSushi,ripgrep,38400,https://github.com/BurntSushi/ripgrep
google,zx,37700,https://github.com/google/zx
wagoodman,dive,37100,https://github.com/wagoodman/dive
jesseduffield,lazygit,35800,https://github.com/jesseduffield/lazygit
chubin,cheat.sh,35500,https://github.com/chubin/cheat.sh
cli,cli,32600,https://github.com/cli/cli
spf13,cobra,32299,https://github.com/spf13/cobra
n8n-io,n8n,31200,https://github.com/n8n-io/n8n
httpie,httpie,28100,https://github.com/httpie/httpie
sharkdp,fd,27900,https://github.com/sharkdp/fd
alebcay,awesome-shell,27600,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,26900,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,26300,https://github.com/acheong08/ChatGPT
angular,angular-cli,26100,https://github.com/angular/angular-cli
tqdm,tqdm,25100,https://github.com/tqdm/tqdm
google,python-fire,24700,https://github.com/google/python-fire
