username,repo_name,stars,repo_url
vercel,next.js,108000,https://github.com/vercel/next.js
rust-lang,rust,82800,https://github.com/rust-lang/rust
sveltejs,svelte,68600,https://github.com/sveltejs/svelte
webpack,webpack,63200,https://github.com/webpack/webpack
gatsbyjs,gatsby,54600,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45000,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42400,https://github.com/parcel-bundler/parcel
babel,babel,42300,https://github.com/babel/babel
evanw,esbuild,35500,https://github.com/evanw/esbuild
vlang,v,33800,https://github.com/vlang/v
carbon-language,carbon-lang,30600,https://github.com/carbon-language/carbon-lang
markedjs,marked,29900,https://github.com/markedjs/marked
swc-project,swc,27700,https://github.com/swc-project/swc
vercel,pkg,23400,https://github.com/vercel/pkg
ziglang,zig,23300,https://github.com/ziglang/zig
v8,v8,21300,https://github.com/v8/v8
typst,typst,18800,https://github.com/typst/typst
AssemblyScript,assemblyscript,15600,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15200,https://github.com/RustPython/RustPython
nim-lang,Nim,15100,https://github.com/nim-lang/Nim
